iter	Passed	Remaining
956	30742	1381
957	30773	1349
958	30805	1317
959	30834	1284
960	30867	1252
961	30896	1220
962	30924	1188
963	30957	1156
964	30987	1123
965	31018	1091
966	31050	1059
967	31087	1027
968	31117	995
969	31149	963
970	31181	931
971	31213	899
972	31249	867
973	31280	835
974	31313	802
975	31346	770
976	31376	738
977	31408	706
978	31437	674
979	31467	642
980	31498	610
981	31528	577
982	31559	545
983	31592	513
984	31621	481
985	31651	449
986	31682	417
987	31720	385
988	31752	353
989	31781	321
990	31813	288
991	31843	256
992	31874	224
993	31905	192
994	31937	160
995	31967	128
996	31997	96
997	32027	64
998	32063	32
999	32094	0
